id,smiles,dG,code,train_test,3,smiles_len
52_,C1=CC=C2C(=C1)C3=C(C=C(C=C3)[N+](=O)[O-])C(=O)C2=O,-8.31,labeled_pubchem,train,,50
53_,CC1C(SCN1CC2=CN=C(N=C2N)C)CCO,-4.55,labeled_pubchem,train,,29
54_,C1=CC(=C(C(=C1)O)C(=O)CCCCCCCCC2=CC(=C(C=C2)O)O)O,-7.16,labeled_pubchem,train,test,49
55_,C1=CC=C2C(=C1)N(C3=CC=CC=C3S2)C(=O)N,-5.54,labeled_pubchem,train,test,36
56_,CC(=O)[C@@H]1CC[C@]2([C@H]1[C@H]3CC[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)C(=O)OC,-8.38,labeled_pubchem,train,,105
57_,C[C@@]12CC[C@@]3([C@@]([C@]1(CC4=C(O2)C=C(OC4=O)C5=CC(=C(C(=C5)OC)OC)OC)O)(C(=O)C=CC3(C)C)C)O,-12.01,labeled_pubchem,train,,93
58_,COC1=CC2=C(C=C1)N=C3CCCCC3=C2N,-7.45,labeled_pubchem,train,,30
59_,C1=CC(=CC(=C1)O)C2=C3C=CC(=C(C4=CC=C(N4)C(=C5C=CC(=N5)C(=C6C=CC2=N6)C7=CC(=CC=C7)O)C8=CC(=CC=C8)O)C9=CC(=CC=C9)O)N3,-6.2,labeled_pubchem,train,,115
60_,C1=CC(=CC(=C1)C(F)(F)F)C(=O)C(F)(F)F,-12.88,labeled_pubchem,train,test,36
61_,CCC[N+]1=CC2=CC=CC=C2C3=CC=CC=C31.[Br-],-7.09,labeled_pubchem,train,,39
62_,C1=CC(=C(C(=C1)O)C(=O)CCCCCCCCC2=CC=C(C=C2)O)O,-7.34,labeled_pubchem,train,,46
63_,CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)C(CO)C3=CC=CC=C3,-12.74,labeled_pubchem,train,test,46
64_,C=CCCCCCCCC1CCC(N1)CCCCC=C,-7.67,labeled_pubchem,train,,26
65_,CCCCCCCCCC1CCC(N1)CCCCC=C,-7.97,labeled_pubchem,train,test,25
66_,COC1=C2C3=C(C(=O)CC3)C(=O)OC2=C4[C@@H]5C=CO[C@@H]5OC4=C1,-6.23,labeled_pubchem,train,test,56
67_,CCCCNC(=O)OCCO,-7.97,labeled_pubchem,train,test,14
68_,COC1=CC=C(C=C1)C(=O)C2=C(C=C(C=C2)OC)OC,-11.27,labeled_pubchem,train,,39
69_,C1=CC=C2C(=C1)C3=CC=CC4=C3C(=NC=C4)C2=O,-6.62,labeled_pubchem,train,test,39
70_,C1CCC2=C(C1)C3=C(S2)N=CN4C3=NCC4,-8.05,labeled_pubchem,train,,32
71_,CC(C1=CC(=CC=C1)O)N(C)C,-7.66,labeled_pubchem,train,,23
72_,CC(=O)O[C@@H]1[C@H](C=C2CCN3[C@H]2[C@@H]1C4=CC5=C(C=C4C3)OCO5)O,-8.72,labeled_pubchem,train,test,63
73_,CC1=CN=C(N=C1N)C,-5.0,labeled_pubchem,train,,16
74_,C1C[C@@H](C2=C(C1)NC(=O)C=C2)NCCCCCCCCCCN[C@H]3CCCC4=C3C=CC(=O)N4,-12.45,labeled_pubchem,train,,65
75_,C1C[C@@H](C2=C(C1)NC(=O)C=C2)NCCCCCCCCCCCCN[C@H]3CCCC4=C3C=CC(=O)N4,-11.08,labeled_pubchem,train,,67
76_,C=CCCCCCCCC1=NC(CC1)CCCCC=C,-6.69,labeled_pubchem,train,test,27
77_,CC1([C@@H](CC2=C(O1)N(C3=CC=CC=C3C2=O)C)O)C,-6.19,labeled_pubchem,train,test,43
78_,CC(=CCC/C(=C/CC1=C(C2=C(C=C1O)O[C@@H](CC2=O)C3=CC(=C(C=C3)O)O)O)/C)C,-6.95,labeled_pubchem,train,test,68
79_,CC(C)NC(=O)N1C2=CC=CC=C2SC3=CC=CC=C31,-4.33,labeled_pubchem,train,test,37
80_,CCNC(=O)N1C2=CC=CC=C2SC3=CC=CC=C31,-3.89,labeled_pubchem,train,,34
81_,COC1=C(C=C2C(=C1)C[C@@H](C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC,-10.87,labeled_pubchem,train,test,56
82_,COC1=C(C=C2C(=C1)C[C@H](C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC,-11.61,labeled_pubchem,train,,55
83_,C1=CC=C2C(=C1)C(=O)C(=O)N2CC3=CC(=C(C=C3)Cl)Cl,-5.91,labeled_pubchem,train,,46
84_,CN(C)C(=O)N1C2=CC=CC=C2SC3=CC=CC=C31,-4.65,labeled_pubchem,train,test,36
85_,CC(C)C1=CC(=CC=C1)C(=O)C(F)(F)F,-15.16,labeled_pubchem,train,,31
86_,CC1=CC(=CC=C1)C(=O)C(F)(F)F,-11.8,labeled_pubchem,train,test,27
87_,C[C@@H]([C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@@H]4[C@@]3(CC=C(C4=O)NC(=O)C5=CC=CC=C5)C)C)N(C)C,-7.56,labeled_pubchem,train,,97
88_,CCN(CC)CCNC(=O)N1C2=CC=CC=C2SC3=CC=CC=C31,-6.56,labeled_pubchem,train,,41
89_,CC(=O)NC1=CC=C(C=C1)OCCCN2CCN(CC2)C3=CC=CC=C3,-7.72,labeled_pubchem,train,,45
90_,C1=CC=[N+](C=C1)CCCCCC[N+]2=CC=CC=C2,-2.46,labeled_pubchem,train,test,36
91_,CCN(CC)CCSP1(=O)OCCCO1,-11.48,labeled_pubchem,train,,22
92_,CC(C)N(CCSP1(=O)OCCCO1)C(C)C,-10.38,labeled_pubchem,train,,28
93_,C[N+](C)(C)CCSP1(=O)OCCCO1.CS(=O)(=O)[O-],-12.45,labeled_pubchem,train,,41
94_,CC(C)(C)C1=CC=[N+](C=C1)CCCCCCCC[N+]2=CC=C(C=C2)C(C)(C)C,-9.65,labeled_pubchem,train,,56
95_,CCN\1C2=CC=CC=C2S/C1=C\3/C(=O)N(C(=S)S3)CC=C,-7.11,labeled_pubchem,train,,44
96_,C1=CC(=C2C(=CC=C3C2=C1C(=O)C3=O)[N+](=O)[O-])[N+](=O)[O-],-8.28,labeled_pubchem,train,,57
97_,C1=CC2=C(C3=CC=C(N3)C(=C4C=CC(=N4)C(=C5C=CC(=N5)C(=C1N2)C6=C(C(=C(C(=C6F)F)F)F)F)C7=C(C(=C(C(=C7F)F)F)F)F)C8=C(C(=C(C(=C8F)F)F)F)F)C9=C(C(=C(C(=C9F)F)F)F)F,-6.6,labeled_pubchem,train,test,155
98_,C1=CC=C2C(=C1)C(=O)C(=O)N2CC3=CC=C(C=C3)CC4=CC=C(C=C4)CN5C6=CC=CC=C6C(=O)C5=O,-7.51,labeled_pubchem,train,,77
99_,C1CN(CCC1NC(=O)COC2=CC3=C(C=C2)C=CC(=O)O3)CC4=CC=CC=C4,-8.05,labeled_pubchem,train,,54
100_,C1=CC=C2C(=C1)C=CC=[N+]2CCCCCCCCCC[N+]3=CC=CC4=CC=CC=C43,-10.01,labeled_pubchem,train,,56
101_,C1=CC(=C(C(=C1)F)C2=C3C=CC(=C(C4=CC=C(N4)C(=C5C=CC(=N5)C(=C6C=CC2=N6)C7=C(C=CC=C7F)F)C8=C(C=CC=C8F)F)C9=C(C=CC=C9F)F)N3)F,-11.1,labeled_pubchem,train,test,121
102_,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,-6.05,labeled_pubchem,train,,48
103_,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,-5.36,labeled_pubchem,train,,42
104_,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O,-5.73,labeled_pubchem,train,,45
105_,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,-5.52,labeled_pubchem,train,,45
106_,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C=C3)O)O)O)O,-5.48,labeled_pubchem,train,,47
107_,C1=CC=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,-5.57,labeled_pubchem,train,,44
108_,C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,-6.05,labeled_pubchem,train,,51
109_,CC(C)C[C@@H](C(=O)NS(=O)(=O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)O)N,-5.61,labeled_pubchem,train,test,85
