id,smiles,dG,code,train_test,3,smiles_len
805_,C1(=C(C=C2C(=C1)OC=C(C2=O)C1=CC=C(C=C1)OC)OC)O,,chembl_27,pred,,46
806_,C1(=CC(=C2C(=C1)OC=C(C2=O)C1=CC=C(C=C1)O)O)O,,chembl_27,pred,,44
807_,C1(=CC(=C2C(=C1CC=C(C)C)OC=C(C2=O)C1=C(C=C(C(=C1)CC=C(C)C)O)CC=C(C)C)O)O,,chembl_27,pred,,72
808_,C1(=CC(=C2C(=C1)OC(=C(C2=O)O)C1=CC=C(C(=C1)OC)O)O)O,,chembl_27,pred,,51
809_,C1(=CC(=C2C(=C1)OC(=C(C2=O)O)C1=CC=C(C(=C1)O)O)O)O,,chembl_27,pred,,50
810_,C1(=CC=C2C(=C1)OC(=CC2=O)C1=CC=C(C=C1)O)O,,chembl_27,pred,,41
811_,C1(=CC(=C2C(=C1)OC(=CC2=O)C1=CC=C(C=C1)O)O)O,,chembl_27,pred,,44
812_,C12=CC=C3C(=C1C=CC(O2)(C)C)OC(=CC3=O)C1=CC=CC=C1,,chembl_27,pred,,48
813_,C12=C(C3=C(C=C1)C(=O)C[C@H](O3)C1=CC=CC=C1)C=CC(O2)(C)C,,chembl_27,pred,,55
814_,C12=C(C3=C(C(=C1)O)C(=O)C[C@H](O3)C1=CC=CC=C1)C=CC(O2)(C)C,,chembl_27,pred,,58
815_,C12=C(C3=C(C(=C1)OC)C(=O)C[C@H](O3)C1=CC=CC=C1)C=CC(O2)(C)C,,chembl_27,pred,,59
816_,C1=CC=C(C=C1)/C(=C/C(=O)C1=CC=C2C(=C1O)C=CC(O2)(C)C)/O,,chembl_27,pred,,54
817_,C1=CC=C(C=C1)/C(=C/C(=O)C1=CC=C2C(=C1OC)C=CC(O2)(C)C)/OC,,chembl_27,pred,,56
818_,C1=CC=C(C=C1)C(=O)/C=C(/C1=CC=C2C(=C1OC)C=CC(O2)(C)C)\O,,chembl_27,pred,,55
819_,C1(=O)C(C2=C(C(=C1CC=C(C)C)O)C(=O)C(=CO2)C1=C(C=C(C=C1)O)O)(CC=C(C)C)CC=C(C)C,,chembl_27,pred,,77
820_,[C@@H]12[C@H](C3=C(C(=C1CC=C(C)C)O)C(=O)C(=CO3)C1=C(C=C(C=C1)O)O)C=CC(O2)(C)C,,chembl_27,pred,,77
821_,C1(=CC=C(C=C1)OC)C1=CC(=O)C2=C(O1)C=CC1=C2OC=C1,,chembl_27,pred,,47
822_,C1=C(C=CC=C1)/C=C/C(=O)C1=CC=C2C(=C1O)C=CC(O2)(C)C,,chembl_27,pred,,50
823_,C12=C(C3=C(C=C1)C(=O)C[C@H](O3)C1=CC=CC=C1)C=CC(O2)(C)C,,chembl_27,pred,,55
824_,C12=CC=C3C(=C1C=CC(O2)(C)C)O[C@@H]1[C@@](C3=O)(C2=C(OC1)C=C(C(=C2)OC)OC)O,,chembl_27,pred,,73
825_,C12=CC=C3C(=C1C=CC(O2)(C)C)OC=C(C3=O)C1=C(C=C(C(=C1)OC)OC)OC,,chembl_27,pred,,60
826_,C1(=CC(=C2C(=C1)OC=C(C2=O)C1=CC(=C(C=C1)O[C@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)OC)O)OC,,chembl_27,pred,,90
827_,C1(=C(C(=C(C(=C1)C(C)(C=C)C)OC)OC)O)[C@@H]1COC2=C(C1=O)C=CC(=C2)O,,chembl_27,pred,,65
828_,C1(=CC=C(C=C1)OC)C1=COC2=CC(=CC=C2C1=O)OC/C=C(/CC/C=C(/C)\CO)\C,,chembl_27,pred,,63
829_,[C@H]1(C2=CC=CC=C2)OC2=C3C(=C(C=C2C(=O)C1)OC)OC=C3,,chembl_27,pred,,50
830_,[C@@]1(C2=CC=CC=C2)(OC2=C3C(=CC(=C2[C@@H](C1)O)OC)OC=C3)OC,,chembl_27,pred,,58
831_,C1(=C(C2=C(C=C1)C[C@H](CO2)[C@H]1C(=O)C[C@@H](C(=O)[C@@H]1OC)OC)OC)O,,chembl_27,pred,,68
832_,C1(=CC=C2C(=C1)OC(=C(C2=O)O)C1=CC(=C(C(=C1)OC)O)OC)O,,chembl_27,pred,,52
833_,C1(=CC=C2C(=C1)OC=C(C2=O)C1=CC(=C(C(=C1)O)OC)O)O,,chembl_27,pred,,48
834_,C1(=CC=C(C=C1O)[C@@H](CCC1=CC(=C(C=C1O)O)OC)O)OC,,chembl_27,pred,,48
835_,C1(=CC(=C2C(=C1)OC(=C(C2=O)O[C@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)C1=CC=C(C=C1)O)O)O,,chembl_27,pred,,88
836_,C1(=CC2=C(C(=C1)O)C(=O)C[C@@H](O2)C1=CC=C(C=C1)O)O,,chembl_27,pred,,50
837_,C1(=CC(=C2C(=C1OC)OC=C(C2=O)C1=CC=C(C=C1)O)O)OC,,chembl_27,pred,,47
838_,C12=CC3=C(C(=C1C=CO2)OC)C(=O)C=C(O3)C1=CC=CC=C1,,chembl_27,pred,,47
839_,C12=C(C3=C(C(=C1)O)C(=O)C=C(O3)C1=CC=CC=C1)C=C(O2)C(C)(C)O,,chembl_27,pred,,58
840_,C12=CC3=C(C(=C1C=CC(O2)(C)C)OC)C(=O)C[C@](O3)(C1=CC=CC=C1)OC,,chembl_27,pred,,60
841_,C1(=CC=C2C(=C1)OC=C(C2=O)C1=CC2=C(C=C1OC)OCO2)O,,chembl_27,pred,,47
842_,C1(=O)C(C2=C(C(=C1)OC)C(=O)C[C@H](O2)C1=CC=CC=C1)(CC=C(C)C)CC=C(C)C,,chembl_27,pred,,67
843_,C1(=CC(=C2C(=C1)OC=C(C2=O)C1=CC=C(C=C1)OC/C=C(/CCC=C(C)C)\C)OC)O,,chembl_27,pred,,64
844_,C(C1=C2C(=CC(=C1O)OC)C(=O)C(=CO2)C1=C(C=C(C(=C1)OC)OC)OC)C=C(C)C,,chembl_27,pred,,64
845_,C12=CC=C3C(=C1C=CC(O2)(C)C)O[C@H]1[C@](C3=O)(C2=C(OC1)C=C1C(=C2)OCO1)O,,chembl_27,pred,,70
846_,C12=CC=C3C(=C1CCC(O2)(C)C)OC1=C(C3=O)C2=C(OC1)C=C1C(=C2)OCO1,,chembl_27,pred,,60
847_,C12=C(C(=C3C(=C1)OC=C(C3=O)C1=CC=C(C=C1)OCC=C(C)C)O)OC(C=C2)(C)C,,chembl_27,pred,,64
848_,C1(=C(C(=C2C(=C1)OC(=O)C(=C2O)C1=CC2=C(C=C1)OCO2)OC)OC)OC,,chembl_27,pred,,57
849_,C1(=CC=C(C(=C1)OC)C(=O)/C=C/C1=CC2=C(C=C1)OCO2)OC,,chembl_27,pred,,49
850_,C1(=CC(=C(C=C1)C(=O)/C=C/C1=CC=C(C=C1)O)O)O,,chembl_27,pred,,43
851_,N1=C(C2=C(N=C1N)C1=C(C2=O)C(C[C@H](C1)O)(C)C)C,,chembl_27,pred,,46
852_,N1=C(C2=C(N=C1N)C1=C(OC2=O)C(C[C@@H](C1)O)(C)C)C,,chembl_27,pred,,48
853_,C1(=CC2=C(C=C1)[C@H]1[C@@H](CO2)C2=C(O1)C=C1C(=C2)OCO1)OCC=C(C)C,,chembl_27,pred,,64
854_,C12=C(C=C3C(=C1)OC(=O)C(=C3)C1=C(C3=C(C=C1)OCO3)OC)C=CC(O2)(C)C,,chembl_27,pred,,63
